Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,4,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,32,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,138,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,616,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2339,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,5238,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,7709,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,9197,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,25274,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,68,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,252,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,627,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1757,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3901,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,6161,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,6661,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,7130,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,26557,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,13,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,33,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,95,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,327,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1069,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,2633,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,4338,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,5892,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,14400,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,0-24,7,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,25-34,50,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,35-44,110,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,45-54,395,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,55-64,1263,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,65-74,2656,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,75-84,4241,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,85+,6405,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Heart failure,I50,All Ages,15127,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,35,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,117,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,398,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1272,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,2507,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,3195,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,3514,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,11046,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,60,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,138,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,308,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,734,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1708,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2880,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,3259,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,3833,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,12920,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,0-24,50,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,25-34,201,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,35-44,504,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,45-54,1535,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,55-64,3606,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,65-74,5816,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,75-84,5303,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,85+,3849,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Sepsis,Sepsis,A40-A41,All Ages,20864,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,34,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,51,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,136,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,387,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1406,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2743,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,3128,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,2558,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,10443,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,0-24,57,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,25-34,234,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,35-44,807,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,45-54,2455,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,55-64,5982,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,65-74,9803,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,75-84,9709,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,85+,7157,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Diabetes,Diabetes,E10-E14,All Ages,36204,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,0-24,113,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,25-34,392,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,35-44,867,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,45-54,1444,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,55-64,2108,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,65-74,2074,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,75-84,1072,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,85+,296,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Obesity,Obesity,E65-E68,All Ages,8366,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,4,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,65,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,560,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,2418,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,5206,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,8253,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,27,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,378,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2296,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,7376,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,14707,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,24787,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,0-24,26,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,25-34,158,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,35-44,414,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,45-54,1263,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,55-64,3027,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,65-74,5181,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,75-84,5302,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,85+,4651,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
11/08/2020,02/01/2020,11/07/2020,US,Renal failure,Renal failure,N17-N19,All Ages,20024,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,86,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,237,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,304,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,489,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,948,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1505,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1850,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2500,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,7919,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,390,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,1060,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,2293,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,6184,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,15350,
11/08/2020,02/01/2020,11/07/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,26829,
